x-axis,1,2,3
second,Volt,Volt,Volt
-57.200E-03,+2.287500E+00,+1.468750E+00,+1.662000E+00
-57.100E-03,+2.318750E+00,+1.781250E+00,+2.068250E+00
-57.000E-03,+2.318750E+00,+2.156250E+00,+2.412000E+00
-56.900E-03,+2.350000E+00,+2.406250E+00,+2.630750E+00
-56.800E-03,+2.287500E+00,+2.593750E+00,+2.724500E+00
-56.700E-03,+2.318750E+00,+2.687500E+00,+2.724500E+00
-56.600E-03,+2.318750E+00,+2.656250E+00,+2.662000E+00
-56.500E-03,+2.287500E+00,+2.562500E+00,+2.505750E+00
-56.400E-03,+2.318750E+00,+2.468750E+00,+2.443250E+00
-56.300E-03,+2.318750E+00,+2.406250E+00,+2.380750E+00
-56.200E-03,+2.287500E+00,+2.312500E+00,+2.287000E+00
-56.100E-03,+2.287500E+00,+2.250000E+00,+2.287000E+00
-56.000E-03,+2.350000E+00,+2.250000E+00,+2.287000E+00
-55.900E-03,+2.318750E+00,+2.281250E+00,+2.349500E+00
-55.800E-03,+2.287500E+00,+2.281250E+00,+2.349500E+00
-55.700E-03,+2.318750E+00,+2.343750E+00,+2.349500E+00
-55.600E-03,+2.287500E+00,+2.343750E+00,+2.380750E+00
-55.500E-03,+2.350000E+00,+2.343750E+00,+2.412000E+00
-55.400E-03,+2.318750E+00,+2.406250E+00,+2.412000E+00
-55.300E-03,+2.350000E+00,+2.375000E+00,+2.380750E+00
-55.200E-03,+2.287500E+00,+2.375000E+00,+2.412000E+00
-55.100E-03,+2.318750E+00,+2.406250E+00,+2.380750E+00
-55.000E-03,+2.350000E+00,+2.375000E+00,+2.380750E+00
-54.900E-03,+2.318750E+00,+2.343750E+00,+2.349500E+00
-54.800E-03,+2.318750E+00,+2.343750E+00,+2.380750E+00
-54.700E-03,+2.318750E+00,+2.343750E+00,+2.380750E+00
-54.600E-03,+2.318750E+00,+2.343750E+00,+2.380750E+00
-54.500E-03,+2.350000E+00,+2.343750E+00,+2.380750E+00
-54.400E-03,+2.287500E+00,+2.343750E+00,+2.349500E+00
-54.300E-03,+2.318750E+00,+2.343750E+00,+2.412000E+00
-54.200E-03,+2.256250E+00,+2.343750E+00,+2.349500E+00
-54.100E-03,+2.256250E+00,+2.312500E+00,+2.318250E+00
-54.000E-03,+2.256250E+00,+2.312500E+00,+2.349500E+00
-53.900E-03,+2.225000E+00,+2.281250E+00,+2.287000E+00
-53.800E-03,+2.287500E+00,+2.281250E+00,+2.287000E+00
-53.700E-03,+2.225000E+00,+2.312500E+00,+2.287000E+00
-53.600E-03,+2.193750E+00,+2.281250E+00,+2.318250E+00
-53.500E-03,+2.193750E+00,+2.250000E+00,+2.318250E+00
-53.400E-03,+2.193750E+00,+2.218750E+00,+2.255750E+00
-53.300E-03,+2.193750E+00,+2.218750E+00,+2.224500E+00
-53.200E-03,+2.131250E+00,+2.187500E+00,+2.224500E+00
-53.100E-03,+2.131250E+00,+2.187500E+00,+2.193250E+00
-53.000E-03,+2.068750E+00,+2.156250E+00,+2.162000E+00
-52.900E-03,+2.037500E+00,+2.125000E+00,+2.099500E+00
-52.800E-03,+2.006250E+00,+2.093750E+00,+2.130750E+00
-52.700E-03,+2.006250E+00,+2.062500E+00,+2.099500E+00
-52.600E-03,+2.006250E+00,+2.031250E+00,+2.037000E+00
-52.500E-03,+1.943750E+00,+2.000000E+00,+1.974500E+00
-52.400E-03,+1.850000E+00,+1.937500E+00,+2.005750E+00
-52.300E-03,+1.850000E+00,+1.937500E+00,+1.912000E+00
-52.200E-03,+1.787500E+00,+1.906250E+00,+1.912000E+00
-52.100E-03,+1.756250E+00,+1.875000E+00,+1.849500E+00
-52.000E-03,+1.693750E+00,+1.781250E+00,+1.818250E+00
-51.900E-03,+1.631250E+00,+1.750000E+00,+1.724500E+00
-51.800E-03,+1.600000E+00,+1.718750E+00,+1.724500E+00
-51.700E-03,+1.600000E+00,+1.656250E+00,+1.693250E+00
-51.600E-03,+1.506250E+00,+1.625000E+00,+1.599500E+00
-51.500E-03,+1.475000E+00,+1.562500E+00,+1.568250E+00
-51.400E-03,+1.381250E+00,+1.531250E+00,+1.537000E+00
-51.300E-03,+1.350000E+00,+1.468750E+00,+1.443250E+00
-51.200E-03,+1.287500E+00,+1.437500E+00,+1.349500E+00
-51.100E-03,+1.256250E+00,+1.375000E+00,+1.349500E+00
-51.000E-03,+1.193750E+00,+1.312500E+00,+1.287000E+00
-50.900E-03,+1.131250E+00,+1.218750E+00,+1.255750E+00
-50.800E-03,+1.068750E+00,+1.156250E+00,+1.162000E+00
-50.700E-03,+1.037500E+00,+1.125000E+00,+1.130750E+00
-50.600E-03,+975.000E-03,+1.062500E+00,+1.037000E+00
-50.500E-03,+912.500E-03,+1.000000E+00,+1.005750E+00
-50.400E-03,+850.000E-03,+937.500E-03,+974.500E-03
-50.300E-03,+818.750E-03,+906.250E-03,+849.500E-03
-50.200E-03,+756.250E-03,+875.000E-03,+880.750E-03
-50.100E-03,+693.750E-03,+781.250E-03,+787.000E-03
-50.000E-03,+693.750E-03,+781.250E-03,+724.500E-03
-49.900E-03,+600.000E-03,+718.750E-03,+693.250E-03
-49.800E-03,+600.000E-03,+656.250E-03,+662.000E-03
-49.700E-03,+568.750E-03,+656.250E-03,+662.000E-03
-49.600E-03,+537.500E-03,+593.750E-03,+568.250E-03
-49.500E-03,+537.500E-03,+562.500E-03,+568.250E-03
-49.400E-03,+475.000E-03,+562.500E-03,+568.250E-03
-49.300E-03,+475.000E-03,+500.000E-03,+505.750E-03
-49.200E-03,+506.250E-03,+500.000E-03,+537.000E-03
-49.100E-03,+475.000E-03,+500.000E-03,+505.750E-03
-49.000E-03,+443.750E-03,+500.000E-03,+505.750E-03
-48.900E-03,+506.250E-03,+500.000E-03,+537.000E-03
-48.800E-03,+537.500E-03,+500.000E-03,+568.250E-03
-48.700E-03,+537.500E-03,+500.000E-03,+537.000E-03
-48.600E-03,+600.000E-03,+562.500E-03,+599.500E-03
-48.500E-03,+600.000E-03,+593.750E-03,+630.750E-03
-48.400E-03,+693.750E-03,+625.000E-03,+662.000E-03
-48.300E-03,+725.000E-03,+687.500E-03,+724.500E-03
-48.200E-03,+818.750E-03,+718.750E-03,+755.750E-03
-48.100E-03,+881.250E-03,+781.250E-03,+818.250E-03
-48.000E-03,+943.750E-03,+843.750E-03,+912.000E-03
-47.900E-03,+1.037500E+00,+906.250E-03,+1.005750E+00
-47.800E-03,+1.100000E+00,+1.000000E+00,+1.037000E+00
-47.700E-03,+1.193750E+00,+1.062500E+00,+1.193250E+00
-47.600E-03,+1.287500E+00,+1.125000E+00,+1.193250E+00
-47.500E-03,+1.318750E+00,+1.250000E+00,+1.318250E+00
-47.400E-03,+1.443750E+00,+1.281250E+00,+1.443250E+00
-47.300E-03,+1.568750E+00,+1.406250E+00,+1.505750E+00
-47.200E-03,+1.662500E+00,+1.500000E+00,+1.599500E+00
-47.100E-03,+1.693750E+00,+1.593750E+00,+1.693250E+00
-47.000E-03,+1.787500E+00,+1.687500E+00,+1.755750E+00
-46.900E-03,+1.912500E+00,+1.812500E+00,+1.880750E+00
-46.800E-03,+1.912500E+00,+1.875000E+00,+1.943250E+00
-46.700E-03,+2.068750E+00,+1.937500E+00,+2.037000E+00
-46.600E-03,+2.068750E+00,+2.031250E+00,+2.130750E+00
-46.500E-03,+2.162500E+00,+2.125000E+00,+2.130750E+00
-46.400E-03,+2.225000E+00,+2.187500E+00,+2.224500E+00
-46.300E-03,+2.287500E+00,+2.250000E+00,+2.318250E+00
-46.200E-03,+2.287500E+00,+2.312500E+00,+2.349500E+00
-46.100E-03,+2.318750E+00,+2.343750E+00,+2.349500E+00
